TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Madonna	B-ORG	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
child	O	_	_	_	_	_	_	_	_
;	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Virgin	B-PERSON	_	_	_	_	_	_	_	_
seated	O	_	_	_	_	_	_	_	_
turned	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
left	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
seen	O	_	_	_	_	_	_	_	_
three	B-DATE	_	_	_	_	_	_	_	_
-	I-DATE	_	_	_	_	_	_	_	_
quarter	I-DATE	_	_	_	_	_	_	_	_
length	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
holding	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
infant	O	_	_	_	_	_	_	_	_
Jesus	B-PERSON	_	_	_	_	_	_	_	_
seated	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
her	O	_	_	_	_	_	_	_	_
knee	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
suckling	O	_	_	_	_	_	_	_	_
him	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_	_
round	O	_	_	_	_	_	_	_	_
composition	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
c.1641	O	_	_	_	_	_	_	_	_
Etching	O	_	_	_	_	_	_	_	_
