TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Madonna	B-PERSON	_	_	_	_	_	_	_	_
and	_	_	_	_	_	_	_	_	_
child	_	_	_	_	_	_	_	_	NoSpaceAfter
;	_	_	_	_	_	_	_	_	_
the	_	_	_	_	_	_	_	_	_
Virgin	B-PERSON	_	_	_	_	_	_	_	_
seated	_	_	_	_	_	_	_	_	_
turned	_	_	_	_	_	_	_	_	_
to	_	_	_	_	_	_	_	_	_
left	_	_	_	_	_	_	_	_	_
and	_	_	_	_	_	_	_	_	_
seen	_	_	_	_	_	_	_	_	_
three	B-DATE	_	_	_	_	_	_	_	NoSpaceAfter
-	I-DATE	_	_	_	_	_	_	_	NoSpaceAfter
quarter	I-DATE	_	_	_	_	_	_	_	_
length	_	_	_	_	_	_	_	_	NoSpaceAfter
,	_	_	_	_	_	_	_	_	_
holding	_	_	_	_	_	_	_	_	_
the	_	_	_	_	_	_	_	_	_
infant	_	_	_	_	_	_	_	_	_
Jesus	B-PERSON	_	_	_	_	_	_	_	_
seated	_	_	_	_	_	_	_	_	_
on	_	_	_	_	_	_	_	_	_
her	_	_	_	_	_	_	_	_	_
knee	_	_	_	_	_	_	_	_	_
and	_	_	_	_	_	_	_	_	_
suckling	_	_	_	_	_	_	_	_	_
him	_	_	_	_	_	_	_	_	NoSpaceAfter
,	_	_	_	_	_	_	_	_	_
a	_	_	_	_	_	_	_	_	_
round	_	_	_	_	_	_	_	_	_
composition	_	_	_	_	_	_	_	_	NoSpaceAfter
.	_	_	_	_	_	_	_	_	EndOfLine|EndOfSentence
c.1641	_	_	_	_	_	_	_	_	EndOfLine|EndOfSentence
Etching	_	_	_	_	_	_	_	_	NoSpaceAfter
