TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Lamentation	O	_	_	_	_	_	_	_	_
over	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
body	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
Christ	O	_	_	_	_	_	_	_	NoSpaceAfter
;	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Virgin	B-PERSON	_	_	_	_	_	_	_	_
seated	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
frontal	O	_	_	_	_	_	_	_	_
view	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
with	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
body	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
Christ	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
her	O	_	_	_	_	_	_	_	_
lap	O	_	_	_	_	_	_	_	NoSpaceAfter
;	O	_	_	_	_	_	_	_	_
Mary	B-PERSON	_	_	_	_	_	_	_	_
Magdalen	I-PERSON	_	_	_	_	_	_	_	_
kneeling	O	_	_	_	_	_	_	_	_
at	O	_	_	_	_	_	_	_	_
left	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
two	B-CARDINAL	_	_	_	_	_	_	_	_
angels	O	_	_	_	_	_	_	_	_
at	O	_	_	_	_	_	_	_	_
right	O	_	_	_	_	_	_	_	NoSpaceAfter
;	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
nails	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
crown	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
thorns	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
hammer	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
pliers	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
foreground	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
 	O	_	_	_	_	_	_	_	NoSpaceAfter
1602	B-DATE	_	_	_	_	_	_	_	_
Engraving	O	_	_	_	_	_	_	_	EndOfSentence
